hour,total_users,present_users,missing_users,weather_data_missing,weather_data_present_but_solar_missing,postal_missing,user_lookup_failed
00,9061,0,9061,49,0,0,0
01,9061,9061,0,0,0,0,0
02,9061,9061,0,0,0,0,0
03,9061,9061,0,0,0,0,0
04,9061,9061,0,0,0,0,0
05,9061,9061,0,0,0,0,0
06,9061,9061,0,0,0,0,0
07,9061,9061,0,0,0,0,0
08,9061,9061,0,0,0,0,0
09,9061,9061,0,0,0,0,0
10,9061,9061,0,0,0,0,0
11,9061,9061,0,0,0,0,0
12,9061,9061,0,0,0,0,0
13,9061,9061,0,0,0,0,0
14,9061,9061,0,0,0,0,0
15,9061,9061,0,0,0,0,0
16,9061,9061,0,0,0,0,0
17,9061,9061,0,0,0,0,0
18,9061,9061,0,0,0,0,0
19,9061,9061,0,0,0,0,0
20,9061,9061,0,0,0,0,0
21,9061,9061,0,0,0,0,0
22,9061,9061,0,0,0,0,0
23,9061,9061,0,0,0,0,0
